Model,MSE,RMSE,MAE,MAPE,RÂ²,Explained Variance
Linear Regression,170.821428129778,13.069867181030494,9.191409803715937,0.11901155099713624,0.8116730521589677,0.811879635183577
Ridge Regression,168.0630501851594,12.963913382353317,9.157834963966424,0.11865163979073778,0.8147141044730098,0.8148769577448647
Lasso Regression,168.58881899209987,12.98417571477296,9.146701225292846,0.11845051805627144,0.8141344556797337,0.8142874133239499
ElasticNet,166.9490414005302,12.920876185481006,9.156793918601318,0.11856386972137573,0.8159422751807148,0.8160531121339011
Random Forest,220.30509251425937,14.842678077566035,9.676975143468589,0.12791480580808887,0.7571183772358698,0.7587606362981949
Gradient Boosting,150.9552661375125,12.28638539756557,8.857053678228151,0.11947471455737248,0.8335750681664471,0.8341291451009174
XGBoost,169.01586310311978,13.000610105034294,9.246094760931815,0.1210324738004896,0.8136636487388108,0.8139451762404126
LightGBM,164.96732578083663,12.843960673438573,9.011238619919089,0.12077282513000534,0.8181270739980051,0.8196685991503636
CatBoost,162.93095616054157,12.764441082967227,9.088502278583393,0.11713899276061916,0.8203721276746142,0.8212511393192814
Neural Network,185.16456297580265,13.607518619344331,9.583528755267782,0.12267477505607607,0.7958600547054397,0.7973926240680967
Enhanced LSTM,172.50082884099248,13.133957089963118,9.147003633035645,0.12048488338311518,0.8095746972655027,0.810202668214528
Enhanced Bidirectional LSTM,169.3025079427478,13.011629718937893,9.306005670083984,0.12447630376368078,0.8131053540709359,0.8131101570749966
Stacking Regressor,161.98386108276753,12.72728804902158,8.962768838339564,0.12003138855934468,0.8214162796130756,0.8238162890959233
Weighted Ensemble,154.0632256118712,12.41222081707666,8.797666729124288,0.11661140535797927,0.8301486097400785,0.8304929081132465
